"標的名稱","代碼","幣別","類型","成立日期","風險收益等級","配息頻率","淨值日期","淨值","三個月(%)","六個月(%)","一年(%)","三年(%)","成立以來(%)","年化標準差","年化Sharpe","年化Beta","規模日期","基金規模","嘉實基金評等","備註"
"凱基雲端趨勢基金(美元)","TF11","美元","跨國投資股票型全球市場","2018/01/02","RR4","無","2026/04/28","77.4656","18.76","25.62","79.16","156.03","303.1","28.91","0.62","1.7","2026/03/31","0.2225億","4.5",""
"凱基臺灣多元收益多重資產基金-新臺幣A","TF14","台幣","多重資產型","2019/08/05","RR3","無","2026/04/29","15.98","10.28","19.25","29.92","46.47","59.8","6.81","1.08","0.21","2026/03/31","3.7264億","3.5",""
"凱基收益成長多重資產基金-新臺幣A(累積)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)","TF15","台幣","多重資產型","2019/09/25","RR3","無","2026/04/28","15.1657","-0.51","2.16","15.33","42.5","51.66","10.32","0.38","0.55","2026/03/31","5.6723億","2.5",""
"凱基收益成長多重資產基金-美元A(累積)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)","TF16","美元","多重資產型","2019/09/25","RR3","無","2026/04/28","16.776","-0.57","1.16","19.38","49.91","67.77","11.81","0.42","0.75","2026/03/31","4.2396億","2.5",""
"普徠仕（盧森堡）系列基金－普徠仕全球焦點成長股票基金A級別(美元)","TF17","美元","股票型","2003/03/28","RR4","無","2026/04/29","108.2","3.51","6.39","36.08","76.74","982","21.34","0.43","1.33","2026/02/28","4219.00百萬(美元)","4.5",""
"普徠仕（盧森堡）系列基金－普徠仕新興市場股票基金A級別(美元)","TF18","美元","股票型","2004/10/26","RR5","無","2026/04/29","37.83","5.61","17.52","50.84","44.44","278.3","23.01","0.54","1.21","2026/02/28","151.00百萬(美元)","2.5",""
"普徠仕（盧森堡）系列基金－普徠仕全球成長股票基金A級別(美元)","TF19","美元","股票型","2008/10/27","RR4","無","2026/04/29","80.36","-0.06","0.71","24.34","59.92","703.6","17.96","0.36","1.14","2026/02/28","404.00百萬(美元)","3.5",""
"凱基新興市場中小基金(美元)","TF1Y","美元","跨國投資股票型區域型","2018/01/02","RR5","無","2026/04/28","42.2483","23.97","51.13","117.2","140.68","127.85","29.02","0.82","1.42","2026/03/31","0.4189億","4.5",""
"凱基雲端趨勢基金(台幣)","TF1Z","台幣","跨國投資股票型全球市場","2012/09/13","RR4","無","2026/04/28","81.8","19.5","29.27","73.93","162.52","718","24.97","0.67","1.35","2026/03/31","6.5334億","4.5",""
"普徠仕（盧森堡）系列基金－普徠仕歐洲股票基金 A 級別(歐元)","TF2A","歐元","股票型","2007/05/02","RR4","無","2026/04/29","20.81","-1.79","0.68","5.96","18.1","108.1","14.69","0.11","0.84","2026/02/28","21.00百萬(歐元)","1.5",""
