"標的名稱","代碼","幣別","類型","成立日期","風險收益等級","配息頻率","淨值日期","淨值","三個月(%)","六個月(%)","一年(%)","三年(%)","成立以來(%)","年化標準差","年化Sharpe","年化Beta","規模日期","基金規模","嘉實基金評等","備註"
"凱基雲端趨勢基金(美元)","TF11","美元","跨國投資股票型全球市場","2018/01/02","RR4","無","2026/05/22","89.1097","38.73","60.97","86.91","177.94","363.7","23.78","0.79","1.33","2026/04/30","0.2796億","4.5",""
"凱基臺灣多元收益多重資產基金-新臺幣A","TF14","台幣","多重資產型","2019/08/05","RR3","無","2026/05/25","16.92","14.95","25.52","35.79","54.38","69.2","7.09","1.22","0.24","2026/04/30","4.3235億","3.5",""
"凱基收益成長多重資產基金-新臺幣A(累積)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)","TF15","台幣","多重資產型","2019/09/25","RR3","無","2026/05/22","15.4934","3.57","6.44","18.92","46.45","54.94","8.77","0.55","0.57","2026/04/30","6.887億","2.5",""
"凱基收益成長多重資產基金-美元A(累積)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)","TF16","美元","多重資產型","2019/09/25","RR3","無","2026/05/22","17.132","3.72","6.77","17.24","53.64","71.33","9.69","0.45","0.67","2026/04/30","4.3981億","2.5",""
"普徠仕（盧森堡）系列基金－普徠仕全球焦點成長股票基金A級別(美元)","TF17","美元","股票型","2003/03/28","RR4","無","2026/05/22","115.71","11.6","24.26","37.26","82.88","1057.1","18.32","0.51","1.25","2026/03/31","3887.00百萬(美元)","4.5",""
"普徠仕（盧森堡）系列基金－普徠仕新興市場股票基金A級別(美元)","TF18","美元","股票型","2004/10/26","RR5","無","2026/05/22","40.29","10.35","33.94","54.49","52.9","302.9","18.84","0.68","1.19","2026/03/31","129.00百萬(美元)","3",""
"普徠仕（盧森堡）系列基金－普徠仕全球成長股票基金A級別(美元)","TF19","美元","股票型","2008/10/27","RR4","無","2026/05/22","84.77","7.52","14.51","23.73","63.78","747.7","15.54","0.4","1.09","2026/03/31","383.00百萬(美元)","3.5",""
"凱基新興市場中小基金(美元)","TF1Y","美元","跨國投資股票型區域型","2018/01/02","RR5","無","2026/05/22","44.8453","31.68","66.85","110.82","160.57","141.85","20.68","1.08","0.98","2026/04/30","0.5866億","4",""
"凱基雲端趨勢基金(台幣)","TF1Z","台幣","跨國投資股票型全球市場","2012/09/13","RR4","無","2026/05/22","94.25","39.13","61.66","96.23","186.04","842.5","20.6","0.98","1.12","2026/04/30","8.2074億","5",""
"普徠仕（盧森堡）系列基金－普徠仕歐洲股票基金 A 級別(歐元)","TF2A","歐元","股票型","2007/05/02","RR4","無","2026/05/22","21.79","0.69","9.5","6.29","21.12","117.9","15.67","0.11","0.84","2026/03/31","19.00百萬(歐元)","1.5",""
"合庫AI電動車及車聯網創新基金(美元)","TF2B","美元","跨國投資股票型全球市場","2019/03/19","RR4","無","2026/05/22","28.19","26.81","39.07","69.72","120.06","181.9","23.26","0.68","0.9","2026/04/30","2.7415億","4",""
"元大台灣高股息優質龍頭基金(A級別/不配息級別)(本基金之配息來源可能為收益平準金且並無保證收益及配息)","TF2E","台幣","國內股票開放型一般股票型","2020/03/23","RR4","無","2026/05/25","46.22","48.57","120.1","155.92","262.79","362.2","29.93","0.97","1.29","2026/04/30","432.328億","2",""
"摩根太平洋科技基金","TF2H","美元","資訊科技股","1997/08/15","RR5","無","2026/05/21","169.06","27.08","46.75","83.02","125.74","N/A","22.41","0.81","0.82","2026/03/31","921.00百萬(美元)","4",""
"摩根基金 - 全球成長基金 - JPM全球成長(美元) - A股(累計)","TF2L","美元","股票型","2005/03/31","RR4","無","2026/05/21","38.29","5.48","9.12","16.1","70.86","282.9","16.07","0.27","1.14","2026/03/31","436.00百萬(美元)","3.5",""
"安聯台灣大壩基金-A類型-新臺幣","TF2O","台幣","國內股票開放型一般股票型","2000/04/10","RR4","無","2026/05/25","336.82","60.71","130.73","277.6","448.92","3268.2","21.92","1.86","0.59","2026/04/30","805.0749億","5",""
"安聯AI人工智慧基金-AT累積類股(美元)","TF2R","美元","資訊科技股","2017/03/31","RR4","無","2026/05/22","42.1026","17.99","32.25","53.63","107.07","321.03","18.89","0.67","0.78","2026/03/31","6616.00百萬(美元)","3",""
"安聯主題趨勢基金-AT累積類股(美元)","TF2S","美元","股票型","2019/01/25","RR4","無","2026/05/22","198.23","2.53","14.35","18.34","30.3","98.23","15.47","0.31","0.96","2026/03/31","2490.00百萬(美元)","2",""
"安聯綠色債券基金-AT累積類股(美元避險)","TF2V","美元","債券型","2018/11/02","RR2","無","2026/05/22","10.6323","-1.35","-0.05","3.32","13.82","6.32","3.3","0.18","0.8","2026/03/31","393.00百萬(歐元)","2.5",""
"凱基開創基金","TF35","台幣","國內股票開放型一般股票型","2001/10/08","RR4","無","2026/05/25","222.06","60.07","131.65","237.48","262.78","2120.6","23.82","1.56","0.74","2026/04/30","12.8642億","3.5",""
"施羅德環球基金系列－環球永續增長(美元)A-累積","TF36","美元","股票型","2010/11/23","RR3","無","2026/05/22","467.8332","4.79","11.86","18.04","44.73","367.83","15.33","0.31","1.09","2026/04/30","4111.00百萬(美元)","2.5","ESG基金"
"富蘭克林坦伯頓全球投資系列-美元短期票券基金美元A (acc)股","TF37","美元","貨幣型","2001/05/14","RR1","無","2026/05/22","14.22","0.85","1.79","3.87","14.4","N/A","0.17","6.42","N/A","2026/03/31","2558.00百萬(美元)","3",""
"凱基凱旋貨幣市場基金","TF39","台幣","國內貨幣市場型","2002/06/25","RR1","無","2026/05/25","12.312","0.36","0.72","1.48","4.25","23.09","0.02","2.89","0","2026/04/30","26.2829億","3",""
"富邦貨幣市場基金(原名:日盛貨幣市場基金)","TF3A","台幣","國內貨幣市場型","1997/10/03","RR1","無","2026/05/25","15.8045","0.38","0.76","1.55","4.39","58.05","0.03","3.58","0","2026/04/30","704.0344億","4",""
"安聯台灣科技基金","TF3E","台幣","國內股票開放型科技類","2001/04/03","RR5","無","2026/05/25","789.32","61.98","137.23","292.05","527.64","7793.2","21.64","1.94","0.51","2026/04/30","2072.3738億","4.5",""
"柏瑞環球基金-柏瑞環球重點股票基金A","TF3F","美元","股票型","2003/12/09","RR3","無","2026/05/22","62.9697","-0.49","6.21","16.79","60.68","403.76","16","0.28","1.13","2026/04/30","2957.00百萬(美元)","3",""
"施羅德環球基金系列－環球創新股票(美元)A-累積","TF3G","美元","股票型","2018/12/12","RR4","無","2026/05/22","299.8374","14.31","15.53","25.37","70.97","199.84","18.39","0.36","0.73","2026/04/30","647.00百萬(美元)","4",""
"施羅德環球基金系列－環球氣候變化策略(美元)A-累積","TF3H","美元","環境生態","2007/06/29","RR4","無","2026/05/22","33.1639","8.75","20.39","34.43","47.09","231.64","13.99","0.61","0.67","2026/04/30","2388.00百萬(美元)","5","ESG基金"
"凱基環球趨勢基金-新臺幣A(累積)","TF3I","台幣","跨國投資股票型全球市場","2021/05/03","RR3","無","2026/05/22","15.19","16.22","20.46","40.52","71.64","51.9","16.28","0.61","0.97","2026/04/30","3.0537億","3",""
"凱基實質收息多重資產基金-新臺幣A(累積)(本基金之配息來源可能為本金)","TF3J","台幣","多重資產型","2023/07/24","RR4","無","2026/05/22","12.6435","2.26","11.03","17.31","N/A","26.44","7.04","0.62","0.28","2026/04/30","0.6464億","",""
"凱基未來世代關鍵收息多重資產基金-新臺幣A(累積)(本基金之配息來源可能為本金)","TF3K","台幣","多重資產型","2021/03/02","RR4","無","2026/05/22","16.15","13.33","21.06","31.3","63.46","61.5","13.74","0.57","0.81","2026/04/30","2.3675億","3",""
"統一黑馬基金","TF3L","台幣","國內股票開放型一般股票型","1994/11/01","RR4","無","2026/05/25","678.93","53.57","112.47","240.95","348.64","8986.76","26.17","1.44","0.75","2026/04/30","395.8181億","4",""
"統一奔騰基金","TF3M","台幣","國內股票開放型科技類","1998/08/11","RR5","無","2026/05/25","784.18","61.41","106.82","236.44","415.47","7741.8","27.96","1.34","0.4","2026/04/30","675.9685億","3",""
"安聯全球綠能趨勢基金-A類型-新臺幣","TF3Q","台幣","跨國投資股票型全球市場","2006/10/11","RR4","無","2026/05/22","15.9","4.74","21.28","46.54","49.44","59","14.28","0.78","0.91","2026/04/30","61.5086億","3",""
"安聯全球礦金資源基金-AT累積類股(美元)","TF3R","美元","股票型","2022/09/01","RR4","無","2026/05/22","21.6798","-3.48","39.23","80.69","82.85","116.8","32.5","0.57","1.83","2026/02/28","1759.00百萬(美元)","4.5",""
"統一台灣動力基金-A類型","TF3S","台幣","國內股票開放型一般股票型","2007/09/13","RR4","無","2026/05/25","202.79","53.1","103.12","231.68","390.42","1927.9","25.67","1.43","0.61","2026/04/30","102.7673億","3.5",""
"野村台灣運籌基金","TF3T","台幣","國內股票開放型一般股票型","1987/04/29","RR4","","2026/05/25","472.56","61.31","136","310.03","482.19","5110.41","26.53","1.65","0.7","2026/04/30","105.3587億","5",""
"野村高科技基金","TF3W","台幣","國內股票開放型科技類","2000/01/31","RR5","無","2026/05/25","128.64","43.7","123.84","256.34","417.87","1186.4","28.26","1.39","0.75","2026/04/30","284.9428億","4",""
"富達基金－美元現金基金(A股累計美元)","TF3X","美元","貨幣型","2006/09/25","RR1","無","2026/05/22","13.4127","0.87","1.82","3.98","14.75","34.13","0.12","9.07","N/A","2026/03/31","2919.00百萬(美元)","3.5",""
"統一強棒貨幣市場基金","TF40","台幣","國內貨幣市場型","1995/06/16","RR1","無","2026/05/25","17.7683","0.37","0.75","1.53","4.38","77.68","0.03","3.27","0","2026/04/30","1248.1278億","3.5",""
"安聯台灣智慧基金","TF42","台幣","國內股票開放型一般股票型","2008/04/24","RR4","無","2026/05/25","430.14","56.16","122.24","263.51","412.44","4201.4","21.89","1.81","0.73","2026/04/30","629.4378億","4.5",""
"富蘭克林坦伯頓全球投資系列-全球基金美元A(acc)股","TF43","美元","股票型","2001/05/14","RR3","無","2026/05/22","53.14","-1.41","4.42","14.48","28.42","172.37","17.47","0.23","1.2","2026/03/31","545.00百萬(美元)","2",""
"瀚亞投資-日本動力股票基金Aj (日圓)","TF44","日圓","股票型","2014/11/04","RR4","無","2026/05/22","4046","8.82","31.88","62.16","98.72","304.6","17.87","0.8","0.82","2026/03/31","386402.00百萬(日圓)","4",""
"瀚亞高科技基金","TF45","台幣","國內股票開放型科技類","1994/11/14","RR5","無","2026/05/25","647.34","62.07","114.72","201.62","403.85","6373.4","28.72","1.18","0.79","2026/04/30","101.0855億","2.5",""
"富蘭克林華美多重資產收益基金分配美元(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金)","TF63","美元","多重資產型","2016/05/18","RR3","月配","2026/05/22","9.3","15.45","23.78","34.94","68.93","84.75","12.5","0.69","0.79","2026/04/30","8.5077億","3.5",""
