標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
摩根JPM南韓基金,JFZ11-JF002,美元,,1991/12/11,RR5,,2026/08/25,175.49,-4.52,12.28,103.58,161.93,,40.23,0.57,0.69,175.49,748百萬,,正常狀態
晉達環球黃金基金,GSF17-IV009,美元,,2004/12/23,RR5,,2026/08/25,208.84,24.79,-5.72,89.29,293.96,,58.64,0.39,0.97,208.84,"1,100百萬",,正常狀態
施羅德環球基金系列 - 環球黃金A(累積) - 美元,PYZQ4-SD079,美元,,2016/06/29,RR5,,2026/08/25,487.1438,16.36,-8.17,87.9,358.38,,55.07,0.4,0.9,487.1438,"1,861百萬",,正常狀態
愛德蒙得洛希爾環球黃金基金(A股),HSI11-EDM09,美元,,2008/09/30,RR5,,2026/08/24,302.06,23.64,-5.21,80.93,316.52,,59.55,0.36,1,302.06,40百萬,,已下架但可原定期(不)定額
新加坡大華黃金及綜合基金(美元),UOB22-UOB01,美元,,1995/07/28,RR5,,2026/08/25,3.9242,16.38,-6.7,77.48,236.55,,52.81,0.38,0.87,3.9242,138百萬,,正常狀態
貝萊德世界黃金基金A2股(歐元),SHZ53-ML002,歐元,,1994/12/30,RR5,,2026/08/25,101.97,20.32,-4.91,77.4,244.49,,49.68,0.4,0.82,101.97,"9,104百萬",,正常狀態
貝萊德世界黃金基金A10(總報酬穩定配息)-美元(基金之配息來源可能為本金)*,SHZV6-ML076,美元,,2022/10/19,RR5,,2026/08/25,33.28,21.06,-5.8,77,272.19,,53.76,0.38,0.89,33.28,"9,104百萬",,正常狀態
貝萊德世界黃金基金A2股(美元),SHZ18-ML001,美元,,1994/12/30,RR5,,2026/08/25,119.02,21.07,-5.84,76.98,272.05,,53.78,0.38,0.89,119.02,"9,104百萬",,正常狀態
富蘭克林坦伯頓全球投資系列-生技領航基金,FLZ81-FL004,美元,,2000/04/03,RR4,,2026/08/25,74.97,19.59,21.29,75.82,121.74,,19.66,0.85,0.91,74.97,"2,067百萬",,正常狀態
安聯全球礦金資源基金-AT累積類股(美元),TLZN1-DS131,美元,,2022/09/01,RR4,,2026/08/25,23.8866,10.18,0.27,72.8,116.71,,40.3,0.45,2.45,23.8866,"1,432百萬",,正常狀態
安聯全球資源基金,TLZ06-DS005,歐元,,1983/07/25,RR4,,2026/08/25,150.99,9.56,1.3,72.6,100.16,,36.14,0.48,0.02,150.99,418百萬,,已下架但可原定期(不)定額
