標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
安聯台灣科技基金,ACDD04-EQTAL046,台幣,國內股票開放型科技類,2001/04/03,RR5,無,2026/08/05,739.13,1.77,65.63,211.9,405.32,,44.76,0.81,1.13,-,"3,026.43億",,
街口中小型基金,ACCH03-EQTPA001,台幣,國內股票開放型中小型,2003/03/12,RR5,無,2026/08/05,184.74,-4.62,52.05,204.4,316.17,,47.11,0.76,1.74,-,10.33億,,
統一龍馬基金,ACPS03-EQTUP005,台幣,國內股票開放型一般股票型,1995/04/08,RR4,-,2026/08/05,614.94,5.67,93.55,202.7,349.52,,46.84,0.76,1.49,-,99.69億,,
原康健人壽標的＿元大新主流證券投資信託基金,ACYT11-CGTS0,台幣,國內股票開放型一般股票型,1999/08/20,RR4,無,2026/08/05,174.93,-7.15,56.56,191.45,279.05,,46.61,0.74,1.3,-,254.52億,,
野村中小基金-累積類型,ACIC08-EQTIG013,台幣,國內股票開放型中小型,2001/04/11,RR5,無,2026/08/05,561.5,-3.37,71.03,186.3,298.11,,45.99,0.73,1.54,-,262.46億,,
原康健人壽標的＿安聯台灣大壩基金,ACDD01-CATS6,台幣,國內股票開放型一般股票型,2000/04/10,RR4,無,2026/08/05,306.42,-3.63,61.04,185.65,339.82,,44.97,0.75,1.33,-,928.05億,,
安聯台灣大壩基金-A類型-新臺幣,ACDD01-EQTAL005,台幣,國內股票開放型一般股票型,2000/04/10,RR4,無,2026/08/05,306.42,-3.63,61.04,185.65,339.82,,44.97,0.75,1.33,-,928.05億,,
原康健人壽標的＿元大多福證券投資信託基金,ACYT02-CGTA1,台幣,國內股票開放型一般股票型,1994/03/16,RR4,無,2026/08/05,323.04,-3.95,61.51,177.07,265.84,,41.55,0.78,1.19,-,109.37億,,
元大多福基金,ACYT02-EQTPL003,台幣,國內股票開放型一般股票型,1994/03/16,RR4,無,2026/08/05,323.04,-3.95,61.51,177.07,265.84,,41.55,0.78,1.19,-,109.37億,,
安聯台灣智慧基金,ACDD19-EQTAL047,台幣,國內股票開放型一般股票型,2008/04/24,RR4,無,2026/08/05,398.76,0.64,56.03,176.19,327.17,,42.71,0.76,1.37,-,754.98億,,
原康健人壽標的＿元大卓越證券投資信託基金,ACYT04-CGTS1,台幣,國內股票開放型一般股票型,1995/11/22,RR4,無,2026/08/05,215.85,-6.84,55.23,172.43,275.98,,43.42,0.74,1.28,-,149.36億,,
野村優質基金-累積類型新臺幣計價,ACIC01-BLTIG071,台幣,國內股票開放型一般股票型,1999/04/21,RR4,無,2026/08/05,444.66,2.48,79.57,168.51,280.73,,43.5,0.72,1.21,-,560.59億,,
原康健人壽標的＿野村優質證券投資信託基金,ACIC01-CCTS0,台幣,國內股票開放型一般股票型,1999/04/21,RR4,無,2026/08/05,444.66,2.48,79.57,168.51,280.73,,43.5,0.72,1.21,-,560.59億,,
台新主流基金,ACTT06-EQTTS002,台幣,國內股票開放型一般股票型,2007/02/08,RR4,無,2026/08/05,172.72,-11.48,62.64,167.45,312.32,,52.97,0.61,1.51,-,34.96億,,
瀚亞中小型股基金,ACCP10-EQTPC003,台幣,國內股票開放型中小型,1998/04/03,RR5,無,2026/08/05,155.07,-6.21,57.21,166.95,281.85,,44.55,0.7,1.58,-,37.57億,,
復華高成長基金,ACFH03-EQTFH007,台幣,國內股票開放型一般股票型,1998/10/17,RR4,無,2026/08/05,435.02,1.92,62.63,165.43,273.6,,49.63,0.64,1.68,-,211.48億,,
玉山保德信中小型股基金,ACML09-EQTPD003,台幣,國內股票開放型中小型,1999/01/22,RR5,無,2026/08/05,297.46,-13.39,47.43,165.12,296.4,,45.28,0.69,1.48,-,43.85億,,
復華復華基金,ACFH01-EQTFH008,台幣,國內股票開放型一般股票型,1998/01/23,RR4,無,2026/08/05,122.66,2.79,61.56,159.38,294.91,,46.61,0.66,1.59,-,149.09億,,
摩根新興科技基金-一般型(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),ACJF76-EQTJF077,台幣,國內股票開放型科技類,1995/03/23,RR5,無,2026/08/05,415.49,-7.95,65.53,157.8,290.39,,46.93,0.65,1.16,-,246.52億,,
原康健人壽標的＿台新2000高科技基金,ACSH03-CTTS0,台幣,國內股票開放型科技類,2000/03/07,RR5,無,2026/08/05,250,-9.62,53.34,157.12,284.97,,43.61,0.69,0.86,-,51.59億,,
台新2000高科技基金,ACSH03-EQTTS005,台幣,國內股票開放型科技類,2000/03/07,RR5,無,2026/08/05,250,-9.62,53.34,157.12,284.97,,43.61,0.69,0.86,-,51.59億,,
路博邁台灣5G股票基金T月配級別(新臺幣) - (配現金)(基金之配息來源可能為本金),ACNB02-ECTNB032,台幣,國內股票開放型一般股票型,2017/09/13,RR4,月配,2026/08/05,53.7,-9.3,52.49,156.46,320.35,,53.83,0.58,1.69,-,78.59億,,
路博邁台灣5G股票基金T累積級別(新臺幣),ACNB01-EQTNB031,台幣,國內股票開放型一般股票型,2017/09/13,RR4,無,2026/08/05,86.82,-9.31,52.48,156.41,320.44,,53.84,0.58,1.69,-,262.70億,,
元大台灣高股息優質龍頭基金-新台幣(A)不配息(本基金之配息來源可能為收益平準金且並無保證收益及配息),ACYT161-EQTPL010,台幣,國內股票開放型一般股票型,2020/03/23,RR4,無,2026/08/05,48.87,18.47,74.16,154.4,231.55,,35.59,0.82,0.94,-,554.52億,,
元大台灣高股息優質龍頭基金-新台幣(B)配息 - (配現金)(本基金之配息來源可能為收益平準金且並無保證收益及配息),ACYT162-ECTPL011,台幣,國內股票開放型一般股票型,2020/03/23,RR4,月配,2026/08/05,26.82,18.52,73.96,154.33,231.07,,35.66,0.82,0.94,-,307.44億,,
統一奔騰基金,ACPS10-EQTUP004,台幣,國內股票開放型科技類,1998/08/11,RR5,無,2026/08/05,726.47,-3.82,64.15,153.91,301.39,,45.22,0.66,1.07,-,741.01億,,
復華全方位基金A類型(基金之配息來源可能為本金及收益平準金且本基金並無保證收益及配息),ACFH15-EQTFH026,台幣,國內股票開放型一般股票型,2005/08/01,RR4,無,2026/08/05,185.34,3.59,64.48,153.54,257.25,,47.46,0.63,1.62,-,136.49億,,
富蘭克林華美第一富基金-A類型,ACFT01-EQTFT001,台幣,國內股票開放型一般股票型,2002/12/13,RR4,無,2026/08/05,276.93,-5.5,53.53,149.51,213.13,,45.28,0.65,1.37,-,76.53億,,
復華中小精選基金,ACFH08-EQTFH020,台幣,國內股票開放型中小型,2001/04/03,RR5,無,2026/08/05,424.93,-4.69,58.7,149.47,231.92,,45.49,0.65,1.65,-,223.63億,,
統一黑馬基金,ACPS02-EQTUP003,台幣,國內股票開放型一般股票型,1994/11/01,RR4,無,2026/08/05,613.14,-5.87,54.68,149.19,235.86,,42.19,0.69,1.27,-,428.74億,,
富邦小而美基金,ACJS04-EQTJS001,台幣,國內股票開放型中小型,1998/07/30,RR5,無,2026/08/05,113.07,-13.44,54.53,144.26,218.96,,46.27,0.62,1.47,-,18.72億,,
復華全球物聯網科技基金-新臺幣,ACFH67-EQTFH011,台幣,跨國投資股票型全球市場,2016/07/04,RR4,無,2026/08/04,82.22,6.46,56.4,143.11,287.28,,49.37,0.59,3.06,-,421.32億,,
玉山保德信店頭市場基金,ACML05-EQTPD002,台幣,國內股票開放型上櫃股票型,1996/09/16,RR5,無,2026/08/05,177.77,-6.75,52.85,141.73,201.66,,40.83,0.69,1.18,-,21.08億,,
