標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
凱基雲端趨勢基金(美元),ACKG40-TF11,美元,跨國投資股票型全球市場,2018/01/02,RR4,無,2026/08/18,87.1045,2.64,35.61,61.02,156.71,353.26,32.58,0.46,1.94,2026/07/31,0.3523億,4.5,
凱基臺灣多元收益多重資產基金-新臺幣A,ACKG59-TF14,台幣,多重資產型,2019/08/05,RR3,無,2026/08/19,17.35,6.7,19.41,32.34,52.06,73.5,8.21,0.96,0.3,2026/07/31,4.264億,3.5,
凱基收益成長多重資產基金-新臺幣A(累積)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),ACKG60-TF15,台幣,多重資產型,2019/09/25,RR3,無,2026/08/18,15.8626,3.16,6.04,13.53,46.77,58.63,5.99,0.56,0.47,2026/07/31,10.9039億,3,
凱基收益成長多重資產基金-美元A(累積)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),ACKG64-TF16,美元,多重資產型,2019/09/25,RR3,無,2026/08/18,17.4617,2.65,5.72,11.01,54.8,74.63,6.92,0.4,0.62,2026/07/31,5.1393億,2.5,
普徠仕（盧森堡）系列基金－普徠仕全球焦點成長股票基金A級別(美元),MAR23-TF17,美元,股票型,2003/03/28,RR4,無,2026/08/18,117.31,3.11,13.46,29.04,83.9,1073.1,16.45,0.45,1.48,2026/06/30,"5,169.00百萬",4.5,
普徠仕（盧森堡）系列基金－普徠仕新興市場股票基金A級別(美元),MAR15-TF18,美元,股票型,2004/10/26,RR5,無,2026/08/18,40.72,2.29,11.56,43.58,61.01,307.2,21.7,0.5,1.54,2026/06/30,139.00百萬,3,
普徠仕（盧森堡）系列基金－普徠仕全球成長股票基金A級別(美元),MAR18-TF19,美元,股票型,2008/10/27,RR4,無,2026/08/18,86.41,3.15,9.45,16.27,65.25,764.1,12.41,0.34,1.16,2026/06/30,447.00百萬,3,
凱基新興市場中小基金(美元),ACKG39-TF1Y,美元,跨國投資股票型區域型,2018/01/02,RR5,無,2026/08/18,41.6333,-2.66,22.24,66.53,136.22,124.53,32.04,0.5,1.83,2026/07/31,0.5124億,4,
凱基雲端趨勢基金(台幣),ACKG22-TF1Z,台幣,跨國投資股票型全球市場,2012/09/13,RR4,無,2026/08/18,93.23,3.95,37.63,71.13,156.76,832.3,30.43,0.55,1.69,2026/07/31,8.2354億,4.5,
普徠仕（盧森堡）系列基金－普徠仕歐洲股票基金 A 級別(歐元),MAR20-TF2A,歐元,股票型,2007/05/02,RR4,無,2026/08/18,23.02,9,6.57,13.68,35.33,130.2,12.09,0.29,0.77,2026/06/30,17.00百萬,2,
合庫AI電動車及車聯網創新基金(美元),ACCB47-TF2B,美元,跨國投資股票型全球市場,2019/03/19,RR4,無,2026/08/18,27.84,1.31,25.24,41.32,114.48,178.4,23.06,0.45,0.82,2026/07/31,3.0847億,4,
元大台灣高股息優質龍頭基金(A級別/不配息級別)(本基金之配息來源可能為收益平準金且並無保證收益及配息),ACYT161-TF2E,台幣,國內股票開放型一般股票型,2020/03/23,RR4,無,2026/08/19,50.16,17.97,72.85,157.89,242.39,401.6,28.39,1.03,0.85,2026/07/31,509.3381億,4,
摩根太平洋科技基金,JFZ57-TF2H,美元,資訊科技股,1997/08/15,RR5,無,2026/08/18,185.84,11.14,39.99,71.65,151.37,N/A,37.92,0.46,1.44,2026/06/30,"1,917.00百萬",4,
摩根基金 - 全球成長基金 - JPM全球成長(美元) - A股(累計),JFZG7-TF2L,美元,股票型,2005/03/31,RR4,無,2026/08/18,38.97,1.27,8.34,9.34,72.89,289.7,11.63,0.21,0.99,2026/06/30,492.00百萬,2.5,
安聯台灣大壩基金-A類型-新臺幣,ACDD01-TF2O,台幣,國內股票開放型一般股票型,2000/04/10,RR4,無,2026/08/19,309.54,3.05,55.16,160.67,325.72,2995.4,35.06,0.86,1.05,2026/07/31,770.1134億,4,
安聯AI人工智慧基金-AT累積類股(美元),TLH43-TF2R,美元,資訊科技股,2017/03/31,RR4,無,2026/08/18,42.2082,0.4,18.87,37.36,92.66,322.08,18.1,0.52,0.93,2026/06/30,"9,094.00百萬",3,
安聯主題趨勢基金-AT累積類股(美元),TLZF7-TF2S,美元,股票型,2019/01/25,RR4,無,2026/08/18,205.39,4.49,6.54,14.99,35.16,105.39,12.96,0.3,0.93,2026/06/30,"2,573.00百萬",2.5,
安聯綠色債券基金-AT累積類股(美元避險),TLZE7-TF2V,美元,債券型,2018/11/02,RR2,無,2026/08/18,10.6294,0.65,-1.32,1.18,13.8,6.29,2.98,-0.001,0.68,2026/06/30,403.00百萬,3,
凱基開創基金,ACKG01-TF35,台幣,國內股票開放型一般股票型,2001/10/08,RR4,無,2026/08/19,205.94,7.02,56.94,144.09,230.61,1959.4,38.26,0.74,1.2,2026/07/31,11.3895億,3.5,
施羅德環球基金系列－環球永續增長(美元)A-累積,PYZY8-TF36,美元,股票型,2010/11/23,RR3,無,2026/08/18,494.2139,7.18,10.28,17.95,56.7,394.21,12.38,0.38,1.14,2026/06/30,"3,968.00百萬",3,ESG基金
富蘭克林坦伯頓全球投資系列-美元短期票券基金美元A (acc)股,FLZB0-TF37,美元,貨幣型,2001/05/14,RR1,無,2026/08/18,14.34,0.84,1.7,3.76,13.99,N/A,0.2,5.38,N/A,2026/06/30,"2,408.00百萬",2.5,
凱基凱旋貨幣市場基金,ACKG03-TF39,台幣,國內貨幣市場型,2002/06/25,RR1,無,2026/08/19,12.3564,0.39,0.77,1.48,4.33,23.53,0.04,1.81,-0.0003,2026/07/31,27.8022億,3,
富邦貨幣市場基金(原名:日盛貨幣市場基金),ACJS02-TF3A,台幣,國內貨幣市場型,1997/10/03,RR1,無,2026/08/19,15.863,0.4,0.8,1.55,4.47,58.63,0.04,2.19,-0.0004,2026/07/31,654.3274億,3.5,
安聯台灣科技基金,ACDD04-TF3E,台幣,國內股票開放型科技類,2001/04/03,RR5,無,2026/08/19,749.9,5.53,60.97,190.19,393.88,7399,37.75,0.89,1.02,2026/07/31,2525.7166億,4.5,
柏瑞環球基金-柏瑞環球重點股票基金A,AIZ34-TF3F,美元,股票型,2003/12/09,RR3,無,2026/08/18,63.9548,1.99,1.8,8.54,57.93,411.64,12.58,0.18,1.12,2026/06/30,"2,427.00百萬",2,
施羅德環球基金系列－環球創新股票(美元)A-累積,PYZA06-TF3G,美元,股票型,2018/12/12,RR4,無,2026/08/18,311.1885,5.2,18.91,18.51,80.2,211.19,15.55,0.31,0.38,2026/06/30,710.00百萬,4,
施羅德環球基金系列－環球氣候變化策略(美元)A-累積,PYZZ9-TF3H,美元,環境生態,2007/06/29,RR4,無,2026/08/18,32.0313,-2.96,4.31,18.36,49,220.31,13.2,0.36,0.21,2026/06/30,"2,305.00百萬",5,ESG基金
凱基環球趨勢基金-新臺幣A(累積),ACKG138-TF3I,台幣,跨國投資股票型全球市場,2021/05/03,RR3,無,2026/08/18,15.38,3.43,17.67,31.57,62.92,53.8,16.37,0.49,1.2,2026/07/31,2.7273億,3,
凱基實質收息多重資產基金-新臺幣A(累積)(本基金之配息來源可能為本金),ACKG188-TF3J,台幣,多重資產型,2023/07/24,RR4,無,2026/08/18,12.4221,-0.27,0.47,11.72,26.92,24.23,6.85,0.43,0.07,2026/07/31,2.9501億,2.5,
凱基未來世代關鍵收息多重資產基金-新臺幣A(累積)(本基金之配息來源可能為本金),ACKG122-TF3K,台幣,多重資產型,2021/03/02,RR4,無,2026/08/18,16.59,4.8,16.42,29.61,62.49,65.9,13.73,0.54,0.66,2026/07/31,2.3813億,3.5,
統一黑馬基金,ACPS02-TF3L,台幣,國內股票開放型一般股票型,1994/11/01,RR4,無,2026/08/19,635.25,7.12,53.67,136.29,233.53,8402.14,33.58,0.8,0.91,2026/07/31,352.8919億,3,
