標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
凱基雲端趨勢基金(美元),ACKG40-TF11,美元,跨國投資股票型全球市場,2018/01/02,RR4,無,2026/06/30,101.0253,66.78,69.41,94.56,188.26,425.7,36.17,0.58,1.91,2026/05/31,0.3427億,4.5,
凱基臺灣多元收益多重資產基金-新臺幣A,ACKG59-TF14,台幣,多重資產型,2019/08/05,RR3,無,2026/07/01,17.47,16.86,25.86,37.45,55.29,74.7,8.02,1.13,0.26,2026/05/31,4.7204億,3.5,
凱基收益成長多重資產基金-新臺幣A(累積)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),ACKG60-TF15,台幣,多重資產型,2019/09/25,RR3,無,2026/06/30,15.6046,9.97,3.79,15.09,44.18,56.05,10.45,0.37,0.61,2026/05/31,8.211億,2.5,
凱基收益成長多重資產基金-美元A(累積)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),ACKG64-TF16,美元,多重資產型,2019/09/25,RR3,無,2026/06/30,17.1903,10.51,3.6,12.51,51.09,71.91,11.85,0.27,0.71,2026/05/31,4.9218億,2.5,
普徠仕（盧森堡）系列基金－普徠仕全球焦點成長股票基金A級別(美元),MAR23-TF17,美元,股票型,2003/03/28,RR4,無,2026/06/30,118.63,27.61,19.29,32.98,80.4,1086.3,23.74,0.37,1.37,2026/04/30,"4,614.00百萬",4.5,
普徠仕（盧森堡）系列基金－普徠仕新興市場股票基金A級別(美元),MAR15-TF18,美元,股票型,2004/10/26,RR5,無,2026/06/30,42.23,29.26,30.02,56.35,59,322.3,24.85,0.55,1.29,2026/04/30,129.00百萬,3,
普徠仕（盧森堡）系列基金－普徠仕全球成長股票基金A級別(美元),MAR18-TF19,美元,股票型,2008/10/27,RR4,無,2026/06/30,85.09,19.49,8.64,18.2,57.63,750.9,18.84,0.26,1.1,2026/04/30,428.00百萬,3,
凱基新興市場中小基金(美元),ACKG39-TF1Y,美元,跨國投資股票型區域型,2018/01/02,RR5,無,2026/06/30,45.8757,36.04,57.19,93.81,159.85,147.41,33.04,0.62,1.51,2026/05/31,0.6251億,3.5,
凱基雲端趨勢基金(台幣),ACKG22-TF1Z,台幣,跨國投資股票型全球市場,2012/09/13,RR4,無,2026/06/30,107.76,65.94,71.62,107.15,194.75,977.6,32.78,0.69,1.71,2026/05/31,9.5374億,5,
普徠仕（盧森堡）系列基金－普徠仕歐洲股票基金 A 級別(歐元),MAR20-TF2A,歐元,股票型,2007/05/02,RR4,無,2026/06/30,22.44,14.14,7.73,10.81,26.49,124.4,13.93,0.21,0.79,2026/04/30,18.00百萬,1.5,
合庫AI電動車及車聯網創新基金(美元),ACCB47-TF2B,美元,跨國投資股票型全球市場,2019/03/19,RR4,無,2026/06/30,29.84,50.4,37.7,61.91,113.91,198.4,35.12,0.44,1.21,2026/05/31,2.8153億,4,
元大台灣高股息優質龍頭基金(A級別/不配息級別)(本基金之配息來源可能為收益平準金且並無保證收益及配息),ACYT161-TF2E,台幣,國內股票開放型一般股票型,2020/03/23,RR4,無,2026/07/01,51.74,66.69,123.79,179.52,273.84,417.4,35.86,0.9,1.02,2026/05/31,540.4862億,3,
摩根太平洋科技基金,JFZ57-TF2H,美元,資訊科技股,1997/08/15,RR5,無,2026/06/29,200.97,60.97,63.39,103.95,159.79,N/A,34.23,0.65,0.87,2026/04/30,"1,051.00百萬",4.5,
